REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Female gender,Canadian students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Female gender,International students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,2568.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,615.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,4590.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,624.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,Canadian students,18.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,International students,3.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,Canadian students,36.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,International students,54.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,Canadian students,81.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,International students,93.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,393.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,International students,237.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,204.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,International students,180.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,Canadian students,48.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,International students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,54.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,Canadian students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,International students,21.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,Canadian students,9.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3.0
